molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL541133,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)c1nc(-c2cnc3ccc(Cl)cn23)cs1.Cl,100.0,active
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,10.0,active
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,220.0,active
CHEMBL556399,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12.Cl,100.0,active
CHEMBL538346,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,10.0,active
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,220.0,active
CHEMBL541643,Cl.Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,220.0,active
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,670.0,active
CHEMBL1256459,CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,549.0,active
CHEMBL1765602,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,24.5,active
CHEMBL1795875,CN1CCC(NC(=O)c2ccc(-c3ccc(-n4c(=O)ccc5cnc6ccc(-c7cnc8ccccc8c7)cc6c54)cc3C(F)(F)F)cc2)CC1,437.0,active
CHEMBL1922094,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,794.0,active
CHEMBL2165017,COc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cn1,29.0,active
CHEMBL2387080,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,292.0,active
CHEMBL3112866,C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,1000.0,active
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,1000.0,active
CHEMBL3218581,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,462.0,active
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,10400.0,inactive
CHEMBL3354566,Cn1c(=O)n(-c2ccc(C3(C#N)CC3)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,44.0,active
CHEMBL1229535,CC(=O)/N=c1/[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,140.0,active
CHEMBL3218571,O=C1NC(=S)S/C1=C/c1ccc2c(c1)N(Cc1ccc(F)c(Cl)c1)C(=O)CO2,370.0,active
CHEMBL1241857,COc1ccc2c(c1OC)N=C(NC(=O)c1cccnc1)N1CCN=C21,64.0,active
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,590.0,active
CHEMBL573339,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,26.0,active
CHEMBL586702,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,180.0,active
CHEMBL3354565,CC(=O)Nc1ccc2nc(-c3cccc(NS(=O)(=O)c4ccccc4)c3)nc(N3CCOCC3)c2c1,630.0,active
CHEMBL3354564,CC(=O)Nc1ccc2nc(-c3cccc(NS(=O)(=O)c4cccc5ccccc45)c3)nc(N3CCOCC3)c2c1,530.0,active
CHEMBL3360219,COc1ccc(OC)c(Nc2nccnc2NS(=O)(=O)c2cccc(NC(C)=O)c2)c1,44800.0,inactive
CHEMBL3360221,COc1ccc(OC)c(Nc2nccnc2NS(=O)(=O)c2cccc(C(=O)O)c2)c1,61200.0,inactive
CHEMBL3360227,COc1cc(Nc2nccnc2NS(=O)(=O)c2cccc(N)c2)cc(OC)c1,28800.0,inactive
CHEMBL3589320,CCN1C(=S)N2CCCC2c2c(N3CCOCC3)nc(-c3cccc(OC)c3)nc21,20840.0,inactive
CHEMBL3589321,CCN1C(=S)N2CCCC2c2c(N3CCOCC3)nc(-c3ccc(OC)cc3)nc21,13560.0,inactive
CHEMBL3589322,COc1cccc(-c2nc(N3CCOCC3)c3c(n2)N(c2ccccc2)C(=S)N2CCCC32)c1,14560.0,inactive
CHEMBL3589323,COc1ccc(-c2nc(N3CCOCC3)c3c(n2)N(c2ccccc2)C(=S)N2CCCC32)cc1,85540.0,inactive
CHEMBL3589373,S=C1N(c2ccccc2)c2nc(CN3CCOCC3)nc(N3CCOCC3)c2C2CCCN12,78780.0,inactive
CHEMBL3589374,CC(c1nc(N2CCOCC2)c2c(n1)N(c1ccccc1)C(=S)N1CCCC21)N1CCOCC1,28640.0,inactive
CHEMBL3589375,CCN1C(=S)N2CCCC2c2c1nc(-c1cccc(O)c1)c(C#N)c2N1CCOCC1,81560.0,inactive
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,1000.0,active
CHEMBL3354565,CC(=O)Nc1ccc2nc(-c3cccc(NS(=O)(=O)c4ccccc4)c3)nc(N3CCOCC3)c2c1,630.0,active
CHEMBL3903959,CC(=O)Nc1ccc2nc(-c3cccc(NS(=O)(=O)c4ccc5ccccc5c4)c3)nc(N3CCOCC3)c2c1,530.0,active
CHEMBL1241857,COc1ccc2c(c1OC)N=C(NC(=O)c1cccnc1)N1CCN=C21,64.0,active
CHEMBL3913354,Oc1cccc(-c2cc3c(oc4ncccc43)c(N3CCOCC3)n2)c1,26.0,active
CHEMBL1229535,CC(=O)/N=c1/[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,14000.0,inactive
CHEMBL3922359,O=C1NC(=S)S/C1=C\c1ccc2c(c1)N(Cc1ccc(F)c(Cl)c1)C(=O)CO2,370.0,active
CHEMBL1879463,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,44.0,active
CHEMBL586702,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,180.0,active
CHEMBL3913746,CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccnc(Cl)c3)n2)c(CC2CC2)n1,10000.0,inactive
CHEMBL3622372,C[C@@H]1COCCN1c1cc(=O)n2c(n1)N(Cc1cncc(Cl)c1)[C@H](C(F)(F)F)CC2,10000.0,inactive
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,590.0,active
CHEMBL4126156,CC(=O)Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,31.62,active
CHEMBL4164334,Cc1ccc(S(=O)(=O)Nc2cc(-c3sc(NC(=O)[C@@H](N)C(C)C)nc3C)cnc2Cl)cc1,247.9,active
CHEMBL4174988,Cc1cccc(S(=O)(=O)Nc2cc(-c3sc(NC(=O)[C@@H](N)C(C)C)nc3C)cnc2Cl)c1,882.3,active
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,10000.0,inactive
CHEMBL521851,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,900.9,active
CHEMBL4561692,COc1ncc(-c2cc3c(c(NC(=O)CN4CCOCC4)c2)COC3)cc1NS(C)(=O)=O,10000.0,inactive
CHEMBL4634634,C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,40530.0,inactive
CHEMBL3325608,CNC(=O)c1ccc(-c2cnc3cnc(C(=O)N(C)c4ccc(Cl)cc4)cn23)cc1,10000.0,inactive
CHEMBL4752128,CNC(=O)c1cncc(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)c1,10000.0,inactive
CHEMBL4785064,Nc1ccc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1,1000.0,active
CHEMBL4749655,O=C(CCCCCCn1cnc2c(N3CCOCC3)nc(-c3cccc(CO)c3)nc21)NO,103.0,active
CHEMBL4787267,Nc1ncc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1,1000.0,active
CHEMBL4799530,COc1ncc(-c2nc(N3CCOCC3)c3ncn(CCCCCCC(=O)NO)c3n2)cn1,1000.0,active
CHEMBL4869265,CN(C)C(=O)c1ccc2c(c1)c(C[C@H]1COCCN1c1nc3c(s1)C(=O)NC(C)(C)C3)cn2C,9.57,active
CHEMBL5091438,Cc1nc2sc1-c1cc3c(c(c1)S(=O)(=O)NCCOCCNC(=O)c1cccc(n1)N2)C(=O)N([C@@H](C)C1CC1)C3,0.7943,active
CHEMBL4558527,Cc1nc(Nc2cccc(N3CCCC3=O)n2)sc1-c1cc2c(c(S(C)(=O)=O)c1)C(=O)N([C@@H](C)C1CC1)C2,3.162,active
